"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"ListSubscriptionPlansUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Subscriptions\SubscriptionPlanUseCases.cs","1","8","7","NO"
"ListTimetableTemplatesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Timetabling\ListTimetableTemplatesUseCase.cs","1","2","1","NO"
"LoginUserUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Auth\LoginUserUseCase.cs","1","4","3","NO"
"PayInstallmentUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Installments\PayInstallmentUseCase.cs","1","2","1","NO"
"PortalLoginUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\PortalLoginUseCase.cs","1","3","2","NO"
"PromoteWaitlistEntryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Waitlist\PromoteWaitlistEntryUseCase.cs","1","2","1","NO"
"PublishNoticeUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\PublishNoticeUseCase.cs","1","2","1","NO"
"RecordAttendanceUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Attendance\AttendanceUseCases.cs","1","3","2","NO"
"RecordSearchHistoryUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\UseCases\RecordSearchHistoryUseCase.cs","1","4","3","NO"
"RefreshTokenUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Auth\RefreshTokenUseCase.cs","1","4","3","NO"
"RegisterUserUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Auth\RegisterUserUseCase.cs","1","4","3","NO"
"RejectProfileChangeRequestUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Portal\RejectProfileChangeRequestUseCase.cs","1","3","2","NO"
